# Logfile created on 2026-08-08 22:49:56 +0200 by logger.rb/v1.5.3
2026-08-08 22:49:56 +0200: Memory Usage (454404K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/spi-slave-ihp/flow/runs/RUN_2026-08-08_22-27-58/final/klayout_gds/spi_slave.klayout.gds
2026-08-08 22:49:56 +0200: Memory Usage (454404K) : Ruby Version for klayout: 3.2.3
2026-08-08 22:49:56 +0200: Memory Usage (455720K) : Loading database to memory is complete.
2026-08-08 22:49:56 +0200: Memory Usage (455720K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/spi-slave-ihp/signoff/drc_noring/spi_slave.klayout_spi_slave_topmetal2.lyrdb
2026-08-08 22:49:56 +0200: Memory Usage (455720K) : Evaluate switches.
2026-08-08 22:49:56 +0200: Memory Usage (455720K) : tables selected: topmetal2
2026-08-08 22:49:56 +0200: Memory Usage (455720K) : KLayout will use 8 thread(s) in tiling mode.
2026-08-08 22:49:56 +0200: Memory Usage (455720K) : deep mode is enabled.
2026-08-08 22:49:56 +0200: Memory Usage (455720K) : FEOL enabled: false
2026-08-08 22:49:56 +0200: Memory Usage (455720K) : BEOL enabled: false
2026-08-08 22:49:56 +0200: Memory Usage (455720K) : OFFGRID enabled: true
2026-08-08 22:49:56 +0200: Memory Usage (455720K) : ANGLE enabled: true
2026-08-08 22:49:56 +0200: Memory Usage (455720K) : PIN enabled: false
2026-08-08 22:49:56 +0200: Memory Usage (455720K) : FORBIDDEN enabled: false
2026-08-08 22:49:56 +0200: Memory Usage (455720K) : RECOMMENDED enabled: true
2026-08-08 22:49:56 +0200: Memory Usage (455720K) : PreCheck DRC enabled: false
2026-08-08 22:49:56 +0200: Memory Usage (455720K) : CONNECTIVITY_RULES enabled: false.
2026-08-08 22:49:56 +0200: Memory Usage (455720K) : Read in polygons from layers.
2026-08-08 22:49:56 +0200: Memory Usage (457104K) : activ_drw has 7986 polygons
2026-08-08 22:49:56 +0200: Memory Usage (457232K) : activ_pin has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (457232K) : activ_mask has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (457232K) : activ_filler has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (457232K) : activ_nofill has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (457232K) : activ_opc has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (457232K) : activ_iopc has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (457360K) : activ_noqrc has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (457360K) : biwind_drw has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (457488K) : biwind_opc has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (457488K) : pemwind_drw has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (457616K) : gatpoly_drw has 8374 polygons
2026-08-08 22:49:56 +0200: Memory Usage (457616K) : gatpoly_pin has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (457744K) : gatpoly_filler has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (457872K) : gatpoly_nofill has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (457872K) : gatpoly_opc has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (458000K) : gatpoly_iopc has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (458000K) : gatpoly_noqrc has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (458000K) : cont_drw has 54393 polygons
2026-08-08 22:49:56 +0200: Memory Usage (458128K) : cont_opc has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (458128K) : nsd_drw has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (458128K) : nsd_block has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (458256K) : metal1_drw has 15531 polygons
2026-08-08 22:49:56 +0200: Memory Usage (458256K) : metal1_pin has 5535 polygons
2026-08-08 22:49:56 +0200: Memory Usage (458256K) : metal1_mask has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (458256K) : metal1_filler has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (458256K) : metal1_nofill has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (458256K) : metal1_slit has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (458564K) : metal1_text has 5454 polygons
2026-08-08 22:49:56 +0200: Memory Usage (458564K) : metal1_opc has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (458564K) : metal1_noqrc has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (458564K) : metal1_res has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (458564K) : metal1_iprobe has 0 polygons
2026-08-08 22:49:56 +0200: Memory Usage (458564K) : metal1_diffprb has 0 polygons
2026-08-08 22:49:57 +0200: Memory Usage (458564K) : passiv_drw has 0 polygons
2026-08-08 22:49:57 +0200: Memory Usage (458564K) : passiv_pin has 0 polygons
2026-08-08 22:49:57 +0200: Memory Usage (458564K) : passiv_sbump has 0 polygons
2026-08-08 22:49:57 +0200: Memory Usage (458564K) : passiv_pillar has 0 polygons
2026-08-08 22:49:57 +0200: Memory Usage (458564K) : passiv_pdl has 0 polygons
2026-08-08 22:49:57 +0200: Memory Usage (458564K) : metal2_drw has 7663 polygons
2026-08-08 22:49:57 +0200: Memory Usage (458564K) : metal2_pin has 19 polygons
2026-08-08 22:49:57 +0200: Memory Usage (458564K) : metal2_mask has 0 polygons
2026-08-08 22:49:57 +0200: Memory Usage (458564K) : metal2_filler has 0 polygons
2026-08-08 22:49:57 +0200: Memory Usage (458564K) : metal2_nofill has 0 polygons
2026-08-08 22:49:57 +0200: Memory Usage (458564K) : metal2_slit has 0 polygons
2026-08-08 22:49:57 +0200: Memory Usage (458564K) : metal2_text has 19 polygons
2026-08-08 22:49:57 +0200: Memory Usage (458564K) : metal2_opc has 0 polygons
2026-08-08 22:49:57 +0200: Memory Usage (458564K) : metal2_noqrc has 0 polygons
2026-08-08 22:49:57 +0200: Memory Usage (458564K) : metal2_res has 0 polygons
2026-08-08 22:49:57 +0200: Memory Usage (458564K) : metal2_iprobe has 0 polygons
2026-08-08 22:49:57 +0200: Memory Usage (458564K) : metal2_diffprb has 0 polygons
2026-08-08 22:49:57 +0200: Memory Usage (458564K) : baspoly_drw has 0 polygons
2026-08-08 22:49:57 +0200: Memory Usage (458564K) : baspoly_pin has 0 polygons
2026-08-08 22:49:57 +0200: Memory Usage (458564K) : psd_drw has 3352 polygons
