# Logfile created on 2026-08-08 22:51:10 +0200 by logger.rb/v1.5.3
2026-08-08 22:51:10 +0200: Memory Usage (454624K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/spi-slave-ihp/flow/runs/RUN_2026-08-08_22-27-58/final/klayout_gds/spi_slave.klayout.gds
2026-08-08 22:51:10 +0200: Memory Usage (454624K) : Ruby Version for klayout: 3.2.3
2026-08-08 22:51:10 +0200: Memory Usage (456012K) : Loading database to memory is complete.
2026-08-08 22:51:10 +0200: Memory Usage (456012K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/spi-slave-ihp/signoff/drc_noring/spi_slave.klayout_spi_slave_topmetal1filler.lyrdb
2026-08-08 22:51:10 +0200: Memory Usage (456140K) : Evaluate switches.
2026-08-08 22:51:10 +0200: Memory Usage (456140K) : tables selected: topmetal1filler
2026-08-08 22:51:10 +0200: Memory Usage (456140K) : KLayout will use 8 thread(s) in tiling mode.
2026-08-08 22:51:10 +0200: Memory Usage (456140K) : deep mode is enabled.
2026-08-08 22:51:10 +0200: Memory Usage (456140K) : FEOL enabled: false
2026-08-08 22:51:10 +0200: Memory Usage (456140K) : BEOL enabled: false
2026-08-08 22:51:10 +0200: Memory Usage (456140K) : OFFGRID enabled: true
2026-08-08 22:51:10 +0200: Memory Usage (456140K) : ANGLE enabled: true
2026-08-08 22:51:10 +0200: Memory Usage (456140K) : PIN enabled: false
2026-08-08 22:51:10 +0200: Memory Usage (456140K) : FORBIDDEN enabled: false
2026-08-08 22:51:10 +0200: Memory Usage (456140K) : RECOMMENDED enabled: true
2026-08-08 22:51:10 +0200: Memory Usage (456140K) : PreCheck DRC enabled: false
2026-08-08 22:51:10 +0200: Memory Usage (456140K) : CONNECTIVITY_RULES enabled: false.
2026-08-08 22:51:10 +0200: Memory Usage (456140K) : Read in polygons from layers.
2026-08-08 22:51:11 +0200: Memory Usage (457580K) : activ_drw has 7986 polygons
2026-08-08 22:51:11 +0200: Memory Usage (457708K) : activ_pin has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (457708K) : activ_mask has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (457708K) : activ_filler has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (457708K) : activ_nofill has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (457708K) : activ_opc has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (457708K) : activ_iopc has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (457708K) : activ_noqrc has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (457836K) : biwind_drw has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (457836K) : biwind_opc has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (457836K) : pemwind_drw has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (457964K) : gatpoly_drw has 8374 polygons
2026-08-08 22:51:11 +0200: Memory Usage (457964K) : gatpoly_pin has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458220K) : gatpoly_filler has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458220K) : gatpoly_nofill has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458220K) : gatpoly_opc has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458348K) : gatpoly_iopc has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458348K) : gatpoly_noqrc has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458476K) : cont_drw has 54393 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458476K) : cont_opc has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458476K) : nsd_drw has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458476K) : nsd_block has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458632K) : metal1_drw has 15531 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458632K) : metal1_pin has 5535 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458632K) : metal1_mask has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458632K) : metal1_filler has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458632K) : metal1_nofill has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458632K) : metal1_slit has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458820K) : metal1_text has 5454 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458820K) : metal1_opc has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458820K) : metal1_noqrc has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458820K) : metal1_res has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458820K) : metal1_iprobe has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458820K) : metal1_diffprb has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458820K) : passiv_drw has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458820K) : passiv_pin has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458820K) : passiv_sbump has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458820K) : passiv_pillar has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458820K) : passiv_pdl has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458820K) : metal2_drw has 7663 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458820K) : metal2_pin has 19 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458820K) : metal2_mask has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458820K) : metal2_filler has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458820K) : metal2_nofill has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458820K) : metal2_slit has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458820K) : metal2_text has 19 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458820K) : metal2_opc has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458820K) : metal2_noqrc has 0 polygons
2026-08-08 22:51:11 +0200: Memory Usage (458820K) : metal2_res has 0 polygons
2026-08-08 22:51:12 +0200: Memory Usage (458820K) : metal2_iprobe has 0 polygons
2026-08-08 22:51:12 +0200: Memory Usage (458820K) : metal2_diffprb has 0 polygons
2026-08-08 22:51:12 +0200: Memory Usage (458820K) : baspoly_drw has 0 polygons
2026-08-08 22:51:12 +0200: Memory Usage (458820K) : baspoly_pin has 0 polygons
2026-08-08 22:51:12 +0200: Memory Usage (458820K) : psd_drw has 3352 polygons
2026-08-08 22:51:12 +0200: Memory Usage (458820K) : nldb_drw has 0 polygons
2026-08-08 22:51:12 +0200: Memory Usage (458820K) : digibnd_drw has 0 polygons
2026-08-08 22:51:12 +0200: Memory Usage (458820K) : via1_drw has 2532 polygons
2026-08-08 22:51:12 +0200: Memory Usage (458820K) : backmetal1_drw has 0 polygons
2026-08-08 22:51:12 +0200: Memory Usage (458820K) : backmetal1_pin has 0 polygons
2026-08-08 22:51:12 +0200: Memory Usage (458820K) : backmetal1_mask has 0 polygons
2026-08-08 22:51:12 +0200: Memory Usage (458820K) : backmetal1_filler has 0 polygons
2026-08-08 22:51:12 +0200: Memory Usage (458820K) : backmetal1_nofill has 0 polygons
2026-08-08 22:51:12 +0200: Memory Usage (458820K) : backmetal1_slit has 0 polygons
2026-08-08 22:51:12 +0200: Memory Usage (458820K) : backmetal1_text has 0 polygons
2026-08-08 22:51:12 +0200: Memory Usage (458820K) : backmetal1_opc has 0 polygons
